ATTRIBUTE_plant_part	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:Anacardium occidentale	GNPSGROUP:Haemotostaphis barteri	GNPSGROUP:Lannea barteri	GNPSGROUP:Mangifera indica	GNPSGROUP:Pseudospondias microcarpa	GNPSGROUP:Sclerocarya birrea	GNPSGROUP:Spondias dulcis	GNPSGROUP:fruits	GNPSGROUP:leaves	GNPSGROUP:na	GNPSGROUP:root bark	GNPSGROUP:stem bark	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	183815.10163934587	159074.9172545189	275171.0080558474	115022.84392993686	147265.59062580334	126150.89694336629	136278.1593986548	84584.32177829393	198744.02521900978	292479.66496079916	167627.1764203168	132345.48727352053	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11.0","main.cluster index_upperinput":"11.0"}	This Node is a Singleton	N/A	N/A	N/A	6.0328	6.0328	0	N/A	N/A	5037999.468972219	27	11	-1	27	288.2896	1	288.2896	5037999.468972219
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	1609.8784022953716	0.0	0.0	0.0	302076.59256829537	0.0	0.0	46984.63448208106	1402.3792939419477	72896.75720741061	39289.1403660039	125901.53333976651	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=417&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	2.2769	2.2769	0	N/A	N/A	1577619.7915171208	7	12	417	7	427.0903	1	427.0903	1577619.7915171208
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	421.9851947319278	9545.347465996952	4866.658360603395	1334.6501068359491	242798.8319585298	1238.5943307788043	0.0	820.5880787870926	8419.07208607258	42505.54008101771	2896.098692557233	134770.03581168066	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13.0","main.cluster index_upperinput":"13.0"}	This Node is a Singleton	N/A	N/A	N/A	2.7917	2.7917	0	N/A	N/A	1235944.7346160489	14	13	-1	14	201.1486	1	201.1486	1235944.7346160489
leaves,na,stem bark	Pseudospondias microcarpa,na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188665.51823287326	0.0	0.0	0.0	569.144886770618	14288.673554140854	0.0	107239.72267487124	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	This Node is a Singleton	N/A	N/A	N/A	5.5324	5.5324	0	N/A	N/A	826105.4407021973	4	14	-1	4	708.3219	1	708.3219	826105.4407021973
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	248039.5705481925	8912.830689210892	501156.873557251	382256.4770473908	27820.812986658588	302887.29323108064	316254.81452024064	2622.209992749123	621378.0801439073	61980.087737167894	94119.61783948536	54100.10497860515	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"15.0","main.cluster index_upperinput":"15.0"}	This Node is a Singleton	InChI=1S/C11H14O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-4,6-7,12-13H,5H2,1-2H3/b4-3+	Spectral Match to Sinapyl alcohol from NIST14	0.8037880000000001	2.3411	2.3411	0	COC1=CC(=CC(=C1O)OC)/C=C/CO	CCMSLIB00003134695	5699707.269412574	22	15	-1	22	193.0859	1	193.0859	5699707.269412574
na,stem bark,root bark	na,Lannea barteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390164.5836814014	0.0	0.0	0.0	0.0	0.0	0.0	9092.677893662081	5717.992626778284	161495.40037953662	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16.0","main.cluster index_upperinput":"16.0"}	This Node is a Singleton	N/A	N/A	N/A	4.0386	4.0386	0	N/A	N/A	1215957.1405125149	4	16	-1	4	820.2601	1	820.2601	1215957.1405125149
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	14966.928604027842	16555.143740827913	30833.126888976636	209105.73588607108	87166.05808132111	37201.48853236069	15452.490506454513	49915.236193293225	146768.8086382625	30155.6215478258	13795.097748490252	21020.913414411145	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17.0","main.cluster index_upperinput":"17.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=71&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	6.9525	6.9525	0	N/A	N/A	1471787.0825405696	27	17	71	27	295.1904	1	295.1904	1471787.0825405696
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Sclerocarya birrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239354.95964846443	13272.502846237745	0.0	0.0	10003.5680209502	100732.9519188077	87906.50631946648	44552.403821379165	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	This Node is a Singleton	N/A	N/A	N/A	6.4831	6.4831	0	N/A	N/A	1500902.1067266094	6	18	-1	6	544.2910	1	544.2910	1500902.1067266094
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Mangifera indica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	895.6015500251632	265233.15118479583	350.7006154394023	482.0167965443165	0.0	0.0	824.9549178163545	6904.893962589736	8835.335072046166	106156.24722878699	1301.9262827864327	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19.0","main.cluster index_upperinput":"19.0"}	This Node is a Singleton	N/A	N/A	N/A	9.0695	9.0695	0	N/A	N/A	845543.1025971893	11	19	-1	11	350.2698	1	350.2698	845543.1025971893
leaves,na,stem bark,root bark	na,Lannea barteri,Spondias dulcis,Mangifera indica,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	90979.58564754883	0.0	11925.596057666213	721657.4115348975	0.0	0.0	902.8296338536334	0.0	328339.70718046057	23347.748110303262	8916.61175016776	16514.576586785766	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20.0","main.cluster index_upperinput":"20.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=60&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	3.0593	3.0593	0	N/A	N/A	2593135.0091734147	10	20	60	10	337.0553	1	337.0553	2593135.0091734147
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1487.6804293005555	204.69069462852133	3039.1131553002047	216610.13177765018	0.0	2716.8453306791516	8626.986147151014	2488.2182924766216	28913.94701687592	3452.406312209517	119796.30822291029	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	This Node is a Singleton	N/A	N/A	N/A	7.3676	7.3676	0	N/A	N/A	1033355.2510247055	12	21	-1	12	388.3062	1	388.3062	1033355.2510247055
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	154476.6924400025	262019.81685830376	290450.9908200963	249099.62191628374	836015.9763272211	185286.48035534605	203302.17909036635	247676.11954510535	298989.7705138735	230691.82760929212	227244.51164594627	492379.3078694624	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22.0","main.cluster index_upperinput":"22.0"}	This Node is a Singleton	N/A	N/A	N/A	2.4360	2.4360	0	N/A	N/A	8531430.387796544	27	22	-1	27	183.1016	1	183.1016	8531430.387796544
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	255665.6496266417	494065.9055150579	447798.23046116944	543853.4554699492	1358041.7452158558	413333.58932291495	590259.6258212085	1703995.334829129	1466336.5517874896	206350.27778255002	133987.20067514497	108690.67820666803	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23.0","main.cluster index_upperinput":"23.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=74&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	7.8055	7.8055	0	N/A	N/A	14698847.738426996	25	23	74	25	672.4169	1	672.4169	14698847.738426996
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	309599.3199283131	251106.8124394716	209857.62903878585	939127.4292319206	205905.73883573795	459402.9161893762	37713.70390768009	57040.19535595088	831733.7635994977	85969.04694875717	111512.35577075767	112040.47951455077	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=654&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	3.3226	3.3226	0	N/A	N/A	7873891.62229338	23	24	654	23	542.2596	1	542.2596	7873891.62229338
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	7226.947958453438	19113.364324875252	26894.25094623952	4591.823245022017	153075.7362484182	0.0	381873.6349230517	596033.6637131742	185125.9655052678	18195.937463915016	4013.7160755747855	1627.3677725037462	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25.0","main.cluster index_upperinput":"25.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=1ad34e72edcf45cbb40c79344f28c967&show=true	"InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2"	2-Amino-1-phenylethanol CollisionEnergy:205060	0.944923	2.3575	2.3575	0	NCC(O)c1ccccc1	CCMSLIB00010122232	2022382.6965061738	18	25	5	18	120.0811	1	120.0811	2022382.6965061738
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	170220.44466047687	109983.63588165045	140720.15539804572	125957.08772961995	151199.0204934179	69930.00033049175	110857.83555388125	242074.41560123785	121557.5131495464	150966.58120196132	152676.99613885343	89441.08285944756	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26.0","main.cluster index_upperinput":"26.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=81&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	10.3742	10.3742	0	N/A	N/A	3542636.4666459765	25	26	81	25	788.6100	1	788.6100	3542636.4666459765
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	39283.228069783756	21783.585465044707	30044.94396231964	543406.5258953685	274381.16483604873	79214.17237569272	10421.407318303849	15445.947022440669	299944.22351760225	68032.49345053587	29482.85889198853	135507.2463877369	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27.0","main.cluster index_upperinput":"27.0"}	This Node is a Singleton	N/A	N/A	N/A	4.5635	4.5635	0	N/A	N/A	3610148.715856414	27	27	-1	27	251.1257	1	251.1257	3610148.715856414
na,stem bark,root bark	na,Lannea barteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231137.78455427202	0.0	0.0	0.0	0.0	0.0	0.0	5815.338763584482	89448.8750128919	9610.175510367542	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28.0","main.cluster index_upperinput":"28.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	2.7565	2.7565	0	N/A	N/A	722490.0474807385	4	28	6	4	419.1330	1	419.1330	722490.0474807385
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	48138.20676839555	5928.816027678023	14593.48566242264	84462.30887967457	59067.754551165075	240501.02395414162	40923.72203862325	15243.245526278031	185188.12720791413	25588.746779110348	14345.252193709832	18276.686694260214	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29.0","main.cluster index_upperinput":"29.0"}	This Node is a Singleton	N/A	N/A	N/A	7.5250	7.5250	0	N/A	N/A	1667857.4420930191	22	29	-1	22	347.2197	1	347.2197	1667857.4420930191
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Lannea barteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0665968118574	0.0	146112.835077294	0.0	0.0	0.0	1497.0459792777506	245335.09060492995	1587.171434008422	80558.43117237261	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30.0","main.cluster index_upperinput":"30.0"}	This Node is a Singleton	N/A	N/A	N/A	8.9552	8.9552	0	N/A	N/A	1812173.9931242613	6	30	-1	6	433.3296	1	433.3296	1812173.9931242613
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	305501.9661961438	295955.8948702492	493938.4145963502	419824.8306056141	978039.3408882357	218216.1546553432	258029.74000886505	1098775.3184231205	376604.43118126923	918909.7774295248	582653.2709361021	296139.8761579885	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31.0","main.cluster index_upperinput":"31.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=187&task=1ad34e72edcf45cbb40c79344f28c967&show=true	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"	BETAINE	0.8382729999999999	3.6356	3.6356	0	C[N+](C)(C)CC(=O)[O-]	CCMSLIB00006678695	14481107.253498262	27	31	187	27	140.0682	1	140.0682	14481107.253498262
