G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18.0","main.cluster index_upperinput":"18.0"}	This Node is a Singleton	N/A	N/A	N/A	6.4831	6.4831	0	N/A	N/A	1500902.1067266094	6	18	-1	6	544.2910	1	544.2910	1500902.1067266094
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"19.0","main.cluster index_upperinput":"19.0"}	This Node is a Singleton	N/A	N/A	N/A	9.0695	9.0695	0	N/A	N/A	845543.1025971894	11	19	-1	11	350.2698	1	350.2698	845543.1025971894
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"20.0","main.cluster index_upperinput":"20.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=25&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	3.0593	3.0593	0	N/A	N/A	2593135.009173415	10	20	25	10	337.0553	1	337.0553	2593135.009173415
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"21.0","main.cluster index_upperinput":"21.0"}	This Node is a Singleton	N/A	N/A	N/A	7.3676	7.3676	0	N/A	N/A	1033355.2510247056	12	21	-1	12	388.3062	1	388.3062	1033355.2510247056
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"22.0","main.cluster index_upperinput":"22.0"}	This Node is a Singleton	N/A	N/A	N/A	2.4360	2.4360	0	N/A	N/A	8531430.387796542	27	22	-1	27	183.1016	1	183.1016	8531430.387796542
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"23.0","main.cluster index_upperinput":"23.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	7.8055	7.8055	0	N/A	N/A	14698847.738426998	25	23	9	25	672.4169	1	672.4169	14698847.738426998
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=478&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	3.3226	3.3226	0	N/A	N/A	7873891.62229338	23	24	478	23	542.2596	1	542.2596	7873891.62229338
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25.0","main.cluster index_upperinput":"25.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=95&task=d0173288f0194aa381d5dc03b93915bd&show=true	"InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2"	2-Amino-1-phenylethanol CollisionEnergy:205060	0.944923	2.3575	2.3575	0	NCC(O)c1ccccc1	CCMSLIB00010122232	2022382.6965061738	18	25	95	18	120.0811	1	120.0811	2022382.6965061738
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"26.0","main.cluster index_upperinput":"26.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=10&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	10.3742	10.3742	0	N/A	N/A	3542636.466645976	25	26	10	25	788.6100	1	788.6100	3542636.466645976
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"27.0","main.cluster index_upperinput":"27.0"}	This Node is a Singleton	N/A	N/A	N/A	4.5635	4.5635	0	N/A	N/A	3610148.715856414	27	27	-1	27	251.1257	1	251.1257	3610148.715856414
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"28.0","main.cluster index_upperinput":"28.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=447&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	2.7565	2.7565	0	N/A	N/A	722490.0474807385	4	28	447	4	419.1330	1	419.1330	722490.0474807385
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29.0","main.cluster index_upperinput":"29.0"}	This Node is a Singleton	N/A	N/A	N/A	7.5250	7.5250	0	N/A	N/A	1667857.442093019	22	29	-1	22	347.2197	1	347.2197	1667857.442093019
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"30.0","main.cluster index_upperinput":"30.0"}	This Node is a Singleton	N/A	N/A	N/A	8.9552	8.9552	0	N/A	N/A	1812173.9931242613	6	30	-1	6	433.3296	1	433.3296	1812173.9931242613
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31.0","main.cluster index_upperinput":"31.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=171&task=d0173288f0194aa381d5dc03b93915bd&show=true	"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"	BETAINE	0.8382729999999999	3.6356	3.6356	0	C[N+](C)(C)CC(=O)[O-]	CCMSLIB00006678695	14481107.253498262	27	31	171	27	140.0682	1	140.0682	14481107.253498262
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32.0","main.cluster index_upperinput":"32.0"}	This Node is a Singleton	N/A	N/A	N/A	7.7106	7.7106	0	N/A	N/A	1479061.458515585	12	32	-1	12	429.2410	1	429.2410	1479061.458515585
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33.0","main.cluster index_upperinput":"33.0"}	This Node is a Singleton	N/A	N/A	N/A	5.6356	5.6356	0	N/A	N/A	1824032.9910631494	27	33	-1	27	205.1224	1	205.1224	1824032.9910631494
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34.0","main.cluster index_upperinput":"34.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=202&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	7.8037	7.8037	0	N/A	N/A	2919677.7278799284	4	34	202	4	848.6385	2	424.8193	2919677.7278799284
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35.0","main.cluster index_upperinput":"35.0"}	This Node is a Singleton	N/A	N/A	N/A	3.5517	3.5517	0	N/A	N/A	1276573.2365376118	10	35	-1	10	410.2173	1	410.2173	1276573.2365376118
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36.0","main.cluster index_upperinput":"36.0"}	This Node is a Singleton	N/A	N/A	N/A	2.1749	2.1749	0	N/A	N/A	6760408.3774638325	24	36	-1	24	443.1527	1	443.1527	6760408.3774638325
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37.0","main.cluster index_upperinput":"37.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=26&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	2.2700	2.2700	0	N/A	N/A	9405185.003718777	11	37	26	11	391.1022	1	391.1022	9405185.003718777
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38.0","main.cluster index_upperinput":"38.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=224&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	1.9588	1.9588	0	N/A	N/A	21275272.97294466	24	38	224	24	230.1752	1	230.1752	21275272.97294466
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"39.0","main.cluster index_upperinput":"39.0"}	This Node is a Singleton	N/A	N/A	N/A	3.4371	3.4371	0	N/A	N/A	3168453.7853586427	11	39	-1	11	522.2907	1	522.2907	3168453.7853586427
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"40.0","main.cluster index_upperinput":"40.0"}	This Node is a Singleton	N/A	N/A	N/A	3.6961	3.6961	0	N/A	N/A	10192512.936675545	27	40	-1	27	290.1960	1	290.1960	10192512.936675545
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"41.0","main.cluster index_upperinput":"41.0"}	This Node is a Singleton	N/A	N/A	N/A	2.7590	2.7590	0	N/A	N/A	26385340.671444304	22	41	-1	22	404.2279	1	404.2279	26385340.671444304
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42.0","main.cluster index_upperinput":"42.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=185&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	2.3147	2.3147	0	N/A	N/A	16235967.998291666	12	42	185	12	400.1604	1	400.1604	16235967.998291666
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"43.0","main.cluster index_upperinput":"43.0"}	This Node is a Singleton	N/A	N/A	N/A	6.7747	6.7747	0	N/A	N/A	1742339.1990496342	27	43	-1	27	291.1951	1	291.1951	1742339.1990496342
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"44.0","main.cluster index_upperinput":"44.0"}	This Node is a Singleton	N/A	N/A	N/A	4.4949	4.4949	0	N/A	N/A	2658265.1904255766	27	44	-1	27	304.2118	1	304.2118	2658265.1904255766
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"45.0","main.cluster index_upperinput":"45.0"}	This Node is a Singleton	N/A	N/A	N/A	5.5347	5.5347	0	N/A	N/A	4360951.030989546	5	45	-1	5	594.3273	1	594.3273	4360951.030989546
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"46.0","main.cluster index_upperinput":"46.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=624&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	6.6676	6.6676	0	N/A	N/A	18032482.988852337	24	46	624	24	391.2464	1	391.2464	18032482.988852337
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"47.0","main.cluster index_upperinput":"47.0"}	This Node is a Singleton	N/A	N/A	N/A	3.0118	3.0118	0	N/A	N/A	1618385.769739972	16	47	-1	16	478.1922	1	478.1922	1618385.769739972
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"48.0","main.cluster index_upperinput":"48.0"}	This Node is a Singleton	N/A	N/A	N/A	2.5232	2.5232	0	N/A	N/A	1566586.648310842	6	48	-1	6	623.2327	1	623.2327	1566586.648310842
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"49.0","main.cluster index_upperinput":"49.0"}	This Node is a Singleton	N/A	N/A	N/A	5.1180	5.1180	0	N/A	N/A	1253205.5646711264	4	49	-1	4	615.2793	1	615.2793	1253205.5646711264
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"50.0","main.cluster index_upperinput":"50.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=52&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	2.5584	2.5584	0	N/A	N/A	1424497.5063104115	7	50	52	7	427.0908	1	427.0908	1424497.5063104115
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"51.0","main.cluster index_upperinput":"51.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=521&task=d0173288f0194aa381d5dc03b93915bd&show=true	N/A	N/A	N/A	3.6872	3.6872	0	N/A	N/A	6989011.807098869	9	51	521	9	440.1915	1	440.1915	6989011.807098869
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"52.0","main.cluster index_upperinput":"52.0"}	This Node is a Singleton	N/A	N/A	N/A	10.2738	10.2738	0	N/A	N/A	612036.9076582618	17	52	-1	17	498.3948	1	498.3948	612036.9076582618
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"53.0","main.cluster index_upperinput":"53.0"}	This Node is a Singleton	N/A	N/A	N/A	2.5840	2.5840	0	N/A	N/A	4417993.259577564	6	53	-1	6	318.2639	1	318.2639	4417993.259577564
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"54.0","main.cluster index_upperinput":"54.0"}	This Node is a Singleton	N/A	N/A	N/A	6.4195	6.4195	0	N/A	N/A	3110694.7578895465	6	54	-1	6	450.3223	1	450.3223	3110694.7578895465
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d0173288f0194aa381d5dc03b93915bd&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"55.0","main.cluster index_upperinput":"55.0"}	This Node is a Singleton	N/A	N/A	N/A	4.7499	4.7499	0	N/A	N/A	819572.3361991133	3	55	-1	3	657.2898	1	657.2898	819572.3361991133
