row ID,row m/z,row retention time,20230323T141609Z_ED_QC_anacardia.mzML Peak area,20230323T141609Z_ED_QC_anacardia_20230324155859.mzML Peak area,20230323T141609Z_ED_STG-01-01C_20230324164641.mzML Peak area,20230323T141609Z_ED_STG-01-02C_20230324170235.mzML Peak area,20230323T141609Z_ED_STG-01-03C_20230324171828.mzML Peak area,20230323T141609Z_ED_STG-01-04C.mzML Peak area,20230323T141609Z_ED_STG-01-05C.mzML Peak area,20230323T141609Z_ED_STG-01-06C.mzML Peak area,20230323T141609Z_ED_STG-01-07C.mzML Peak area,20230323T141609Z_ED_STG-01-08C.mzML Peak area,20230323T141609Z_ED_STG-01-09C.mzML Peak area,20230323T141609Z_ED_STG-01-10C.mzML Peak area,20230323T141609Z_ED_STG-01-11C.mzML Peak area,20230323T141609Z_ED_STG-01-12C.mzML Peak area,20230323T141609Z_ED_STG-01-13C.mzML Peak area,20230323T141609Z_ED_STG-01-14C.mzML Peak area,20230323T141609Z_ED_STG-01-15C.mzML Peak area,20230323T141609Z_ED_STG-01-16C.mzML Peak area,20230323T141609Z_ED_STG-01-17C.mzML Peak area,20230323T141609Z_ED_STG-01-18C.mzML Peak area,20230323T141609Z_ED_STG-01-19C.mzML Peak area,20230323T141609Z_ED_STG-01-20C.mzML Peak area,20230323T141609Z_ED_STG-01-21C.mzML Peak area,20230323T141609Z_ED_STG-01-22C.mzML Peak area,20230323T141609Z_ED_blank1_20230324121613.mzML Peak area,20230323T141609Z_ED_blank1_20230324152037.mzML Peak area,20230323T141609Z_ED_blank1_20230325045643.mzML Peak area,
11,288.28960277416087,6.032801988888888,115789.63538894696,650056.5574945628,142287.70970469058,325461.29001662234,83696.30519672476,77129.0317932157,102184.5863274207,297911.1336429203,615257.6563649226,84248.30533140218,126007.06247121749,116654.75746635489,135957.15600310185,92456.61832035388,75285.64312477416,92063.05643442839,337129.34116571676,84584.32177829392,172809.62096545385,108787.12970305693,96855.94016158802,191783.75711365684,77716.88709861127,139333.8339836963,247996.50750145424,208200.2701033402,240355.35431569163,
12,427.09033639090404,2.2769467714285714,74869.8850308181,289613.901006235,0,0,4829.635206886115,0,0,0,0,0,0,0,0,0,9816.655057593634,881310.7333783654,270194.3473551412,46984.63448208107,0,0,0,0,0,0,0,0,0,
13,201.14860207722526,2.7917320428571424,52605.44466291511,159187.5768353485,774.8879863564348,0,491.06759783934854,19990.88550573936,0,8645.1568922515,14599.975081810184,0,0,4003.950320507847,0,0,15848.022715757823,943390.2506817646,11136.466357809782,820.5880787870926,3715.7829923364134,0,0,0,0,0,734.6789068249095,0,0,
14,708.321891784668,5.532364825,18083.35192670746,53360.01584399682,0,0,0,0,0,0,0,0,0,0,0,0,3984.0142073943257,750678.0587240987,0,0,0,0,0,0,0,0,0,0,0,
15,193.08594859730113,2.341051468181819,93821.25730294267,216079.18138289682,539585.3886440968,23208.05518690305,181325.26781357772,16165.218514995044,10573.273552637633,0,1311887.434910258,105305.00635839302,86278.17940310188,615809.9236927626,182473.43102030823,348486.07642910164,44216.69222337868,41502.628763323446,22941.720967183104,2622.209992749123,908057.6387978229,0,604.2408954191791,913924.2642240373,15638.339968670645,19201.83936801409,0,0,0,
16,820.2600708024978,4.03860255,11544.030890072812,33919.358578237596,0,0,0,0,0,0,0,1130467.8026567562,40025.948387447985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,295.19035565415555,6.952512862962963,33629.60414019833,85751.88472485782,25309.54812440033,8762.925306414618,10828.312381268577,34202.41543199284,11075.88213933171,4387.133651159194,68433.8336469678,14280.26458532879,9785.28243463331,601895.4488738921,13117.953553748235,12303.805230572962,181254.33623628502,80339.62116507458,37155.03873063161,49915.236193293225,88584.29187434724,11085.8705737604,11934.303148974419,27701.78627995215,8483.876577219691,10171.808662191695,10410.559413434636,9539.624084945728,11446.435375692477,
18,544.2910130819574,6.48309445,114398.81234249489,389265.9472515436,0,0,0,0,0,0,0,0,0,0,0,0,70024.9761466514,272049.31821094087,615345.5442362654,0,0,39817.508538713235,0,0,0,0,0,0,0,
19,350.269758744812,9.069476036363636,9154.976811567374,22813.83714470031,0,0,0,0,922.3820245927369,1764.4226254827527,48334.25773812815,8191.101954912292,739174.093861347,0,0,1052.101846318207,0,0,1103.1122683609115,824.9549178163545,0,0,0,0,0,0,12207.86140396315,0,0,
20,337.05526352022173,3.0592535,37099.05577410708,79639.68477740922,233127.90916474877,31812.87737106949,7997.9704068281935,0,0,0,0,0,35776.78817299864,2065250.0410984752,81080.66983486997,18641.523671347477,0,0,0,0,0,0,0,0,2708.4889015608996,0,0,0,0,
21,388.30615234540943,7.367575483333334,33614.10044181808,110955.63464256152,0,0,0,632.8336857715149,0,3830.2076021301514,0,0,614.072083885564,9117.339465900614,0,0,749.3538612370805,838574.1575603721,18490.02954184059,8626.986147151014,0,0,0,6918.001034427143,0,1232.534957610312,0,0,0,
22,183.1016229700159,2.436005537037037,252540.0053477334,617350.7794290462,140357.2143384173,151235.42037359942,171837.44260799073,245440.49627255258,168045.22464322275,372573.729659136,390348.747816611,222115.2005726022,258889.02407107575,385083.80666021496,169011.08913715577,193203.9699514806,341734.3071626837,2421929.7087305193,332723.7698705752,247676.1195451054,294536.7320768441,127944.72470034157,133377.9842888525,295427.0892697909,186373.78692879487,128105.66107251328,98864.42474505189,93380.36901510495,91323.5595095242,
23,672.4168737796568,7.805467796000001,302155.78784841264,729015.4738290195,453432.56132833014,70968.8043646131,242595.58318698197,1426562.7695499293,39407.10455712093,16227.842438123798,1094244.7314089695,121227.43185272027,127922.5281218185,1222058.5836348424,107697.30381294593,301804.4789620591,3436537.4568140865,197339.45498224365,94294.73423796418,1703995.3348291293,1180807.0964543102,17534.204817266058,41659.46669716849,1450712.6633219605,206660.44305976634,113405.7710818987,0,580.127235317875,0,
24,542.2595825201086,3.3225708826086953,119747.51683764777,310097.7179061381,557930.4589231499,28504.609259453453,342362.89160233585,535879.1389855947,117504.90591900209,99936.39241381807,597063.3695220844,32509.51759427316,0,2196987.294834124,402278.2867686299,218116.70609300805,747787.9506975284,7690.052886160883,11104.756403311625,57040.19535595087,1133785.1795234692,148986.38540014188,95437.18364451759,52702.95271053381,46809.59877419398,13628.560238312473,0,0,0,
25,120.08105087280273,2.3575054944444447,7225.38838657687,83754.2989329982,9755.489776598299,850.0227392959162,11075.331359466098,44340.151169538745,1734.667026505368,11265.274778581648,73933.93439345076,6748.818445267798,0,11724.068479957214,0,2051.4012551088363,15306.280731180055,0,963.000549318576,596033.6637131742,0,0,0,1140821.8339861496,2058.066196457142,2741.004586548336,0,0,0,
26,788.609970703125,10.374193519999997,89936.53523920983,654070.3667789027,53524.53959813977,113612.42148386856,343524.3728994223,93542.19335490081,91776.44866296383,144632.26562708677,187393.6519639165,84869.5829298321,149897.2313003886,121605.55895613466,84432.91121018633,171832.79302253886,186692.42603995657,65515.38425785968,110513.8560746175,242074.41560123785,100635.3301339184,52186.61229790318,56968.05855965365,107508.89199985814,133694.21917351923,91370.39548826631,10826.003991694028,0,0,
27,251.12572691177863,4.563510877777778,53999.85132255957,252475.73164621982,90778.08709721583,10189.15182119531,16882.44529094012,21892.242200544308,10316.341355867426,33142.17283872238,65787.11404985627,11027.267747998576,13320.450089104077,1556453.1027974018,33641.333736882276,40125.14115182144,128586.39045962553,867288.4067864672,86203.9150756616,15445.947022440669,224392.28644508883,5027.951169383769,8222.279512605528,11720.341573483267,11060.272096363708,8483.608285064569,22415.314589177746,3437.934992967087,7833.634701755114,
28,419.13296127319336,2.7565037749999997,10495.478322391973,18581.215495530436,0,0,0,0,0,0,0,67271.2285725728,626142.1250902433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,347.2197022880901,7.524971481818183,39067.972753291666,88875.76114226009,106836.6601808405,2334.0736782531685,35243.88644609294,11531.480810523279,3717.9188796708313,2537.0483928399585,42574.98063161434,556.9723321882373,648.5040234653445,219984.46261802333,17255.23022815345,16147.233792846928,76329.02950800907,102965.0997422854,41733.64342808784,15243.245526278033,721503.0718624248,0,0,117557.2048439635,1107.5119992704485,4106.4492726358085,0,0,0,
30,433.3296025602087,8.955239916666669,368963.1809309817,857712.2720936679,0,0,0,0,0,0,0,1047.199790435572,0,0,0,0,10479.321854944254,562861.8184161728,11110.200038058956,0,0,0,0,0,0,0,0,0,0,
31,140.0681952017325,3.6355708925925927,603108.6199853426,392179.18351326603,317080.60788508557,198363.4254575727,401061.8652457732,274458.87534670014,311289.4726300327,302119.33663401473,432809.48782089684,485669.59187280573,563336.1640953482,465691.52249566256,290239.73961446644,503543.2297067133,332797.3983719073,485438.6068193219,1995146.0399385933,1098775.3184231205,382570.0822958897,164142.5113440342,107935.87032610574,430823.0440527424,137835.78536768592,205430.3906061668,1291078.8990159356,1189633.8534638442,1118548.3311692355,
32,429.2409884177271,7.710632891666669,303320.6586423351,459408.7217448916,0,2013.801819578538,0,0,0,0,0,718.224407422073,0,0,0,766.9134469686969,12175.874223641693,684843.0398982874,11766.007033049182,0,0,1097.944902125877,0,0,0,1752.0433353060253,0,612.8187055839321,585.4103563949118,
33,205.1224352520745,5.6355933296296294,39311.460239177235,99813.74970780281,17872.32349744713,25687.826983170493,20283.38995909125,26712.29211646848,22870.091958852143,11523.138485687352,33827.42546125581,10991.42712436373,22098.117168224715,23964.78244220217,15766.391491007285,19149.015033130425,39186.87862619225,1096882.7674285418,65724.53474282696,20581.431595565668,33838.0594752382,12927.677150302698,13053.906721491649,42085.1973762324,15896.527299406069,10363.724777838868,62473.18677961867,11134.28057129578,10013.38685071729,
34,424.8192596435547,7.803660775,1792017.0892346685,0,417388.6635162534,23384.726282487885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686887.2488465182,0,0,
35,410.21731262323755,3.5516665000000005,11562.165771569158,39621.01458672502,0,0,624.6911858247161,147130.47563635616,0,0,0,0,0,7748.71053523095,0,0,28030.004355694316,4865.314093447176,46198.45868322282,783221.2601833019,0,0,0,207571.14150623936,0,0,0,0,0,
36,443.15266545636814,2.174862491666667,94401.62615374895,218257.2564525271,178819.64594564599,244415.45612853242,348911.57504600007,124568.35117247557,637534.1411031453,220482.38460419673,395891.3918989662,27107.99270065134,15037.716955041436,414238.17828493315,428340.02826534223,338866.59169149544,232552.3498094885,36577.79721835726,198133.1829396897,40119.8238286767,1188030.9010764775,225479.41994918004,329494.8033054927,54585.46508754487,543447.5045751974,225114.7932710256,0,0,0,
37,391.1022491469643,2.269969609090909,133325.19083970692,356205.737553529,0,0,0,0,0,0,25099.72508682001,8296.892719122265,9050.945213318164,7272322.241779664,1212011.378549154,362678.81509462243,0,0,0,0,6117.008543198634,0,0,0,2118.3864274380385,17958.68191220515,0,0,0,
38,230.1752006222781,1.9587594166666669,239873.5730841677,936991.1751899881,4916.520114544924,4696.955851569556,3106.1246085798457,0,12112.284497569337,5616.215393649939,1.9140781789856546E7,430087.91271402437,331220.892250758,29383.62665216899,2598.7567913803437,6869.949834194044,3473.2614403571797,7804.170458446362,7632.836556441307,0,3967.3699113002735,9775.479648257508,7143.201589847915,0,7455.923301069557,3821.0512674521465,51042.91720170992,16730.94416329244,8170.040567344524,
39,522.2906910300237,3.4371285636363633,34199.943202843715,75627.25177239798,41266.90419213871,0,0,0,10110.662697998225,6571.781347120576,46101.645045608835,0,0,86904.33920576693,0,0,63515.352141310985,0,0,0,2719640.2318602363,0,2381.1497970963114,82134.52409612422,0,0,0,0,0,
40,290.196001971266,3.6960748037037034,354771.27858814923,773004.7876163148,209247.4171282118,127513.0671946497,191929.37075081197,210165.02242750727,196479.10651529388,563377.6664119791,272457.91038279975,179435.58905150738,189471.85521344753,981395.8194833174,184981.08949022283,235530.36976525132,353877.8063256106,1384091.5048525445,1402543.979989617,389729.7629046443,347963.06576071156,84497.85032621383,98653.58870326001,329854.54144389654,284407.27777051466,277541.61437101476,234264.40346910883,116718.7522674317,218608.43847151316,
41,404.2278962573519,2.7590147863636365,309093.4935145149,963612.1387668186,1292353.0336572544,170881.796523685,1409308.1888904732,2409521.8063842887,212281.8473921081,302029.86368156987,4093579.749237387,58069.62763527533,0,2490986.381235979,0,260493.9558860774,1460492.2669934335,57303.24201770208,83356.47405200086,90440.66286783812,9226619.758168954,8387.797037326189,30679.313286985303,1226111.74652191,191937.15655835194,37800.37113437111,0,0,0,
42,400.1604207369741,2.314673325,141872.68790824973,584840.6702313868,0,0,0,6469630.824642919,7188.132784448798,0,65766.48981175637,0,0,36508.732345371696,0,0,978281.3307735829,41358.23912045843,0,0,12458.420128565209,0,0,7743935.308300209,83956.26566095404,70170.89658376653,0,0,0,
43,291.1950836182319,6.774726866666667,41307.6625312605,94929.65608854173,85636.0343391772,7349.027160908221,20999.688469537832,17201.7269779482,4478.50427247156,12888.550878658625,62313.41445113249,7656.463990636603,17398.185656890877,305576.750207004,38721.09384296493,36235.281974061036,62661.41547716545,143150.50810842207,63047.71269028702,46346.354561838256,548095.9092975945,3047.3193219950062,2411.5181973955187,55284.68389049855,7002.64623433797,14770.269269857134,36427.96964039755,4402.32416387434,2998.527354776765,
44,304.2117609105712,4.494893292592592,363865.8252773635,1040582.266575846,4860.98118425947,4440.3114461970645,10198.919256264257,20683.69399310423,5853.0191718011,17578.21905216207,11126.642746076235,4832.943570210112,1507.6986890596186,30877.73018369093,5358.728993765881,22678.73561582518,54301.92921802205,856491.6642155924,32019.064965997237,44123.14940725554,13157.800062547121,1232.4047998659566,4175.23157480412,59537.875178391,4520.183357609107,5177.191611345055,23432.100230464574,10901.972877108317,4748.907170948716,
45,594.3273071289062,5.5347286,280800.4615352707,738873.5638706612,0,0,0,0,0,0,0,0,0,0,0,0,28875.424440587674,3305090.2874690234,7311.293674002783,0,0,0,0,0,0,0,0,0,0,
46,391.2463569661998,6.667575724999999,493814.1429537449,895315.7328905105,547102.0984388806,18973.742994705968,80077.65482426075,3717.579831298925,21783.346840267015,50742.20591883425,457273.9712258187,68758.93488461514,134924.6267449006,3613819.9115682794,333628.4654040021,294632.0613220609,233028.73652113436,816012.9855082054,289770.25819034263,62352.196466327645,9545363.933124801,13576.95127859544,7164.668950602155,31867.357707780335,2674.135492592397,16107.28976977954,0,0,0,
47,478.19224452999117,3.0117648624999998,7876.103140784269,40035.50462419903,23062.99358445712,23278.1933979993,59694.167768979845,0,0,0,48861.847814694294,276460.0258414916,0,42737.57595561907,538480.0734874527,510509.52782401105,9490.664345546069,0,0,4792.591845667834,12414.439413202073,549.6243813819273,0,0,1516.0318275878637,18626.404486897765,0,0,0,
48,623.2327067065684,2.523227133333333,29882.621916561053,164823.00376331052,0,0,0,0,0,0,0,937.6640962032415,1112.9450545005066,0,0,0,1675.0302447919864,1368155.3832354746,0,0,0,0,0,0,0,0,0,0,0,
49,615.2792510986328,5.118017625,44444.51751718511,127623.26058335029,0,0,0,0,0,0,0,0,0,0,0,0,3814.1414957491425,1077323.645074842,0,0,0,0,0,0,0,0,0,0,0,
50,427.09078543526783,2.558434542857143,51759.0392069106,211202.9935776569,0,0,0,0,0,0,0,0,0,0,0,0,10166.467678192508,567815.0728883261,488441.680023422,54247.003096710454,0,0,0,0,0,40865.249839192875,0,0,0,
51,440.19150797526044,3.6872347,99856.88567972783,335917.0046250254,0,0,0,3259.898675774474,0,0,6049651.496874437,360335.6733018671,119647.85906692922,0,0,0,3125.857726124322,0,11243.249209611975,5973.88193937091,0,0,0,0,0,0,0,0,0,
52,498.3947928944599,10.273822823529411,3350.1869565091547,1255.4413892722441,879.5446867527392,990.788288342081,1501.533682324086,0,0,2831.262043476718,3268.28692098637,1020.8730397119372,0,11058.685318943435,47750.27433544877,470518.546617833,0,0,0,0,1086.1543420314154,1461.9269175657705,0,8346.221543584115,2773.6099948902165,52630.24698427867,1313.3245963110674,0,0,
53,318.26393636067706,2.5840018,400533.4074059519,931844.4704882689,0,0,0,0,0,0,0,0,0,0,0,0,18782.34877746792,3049468.9857460884,13852.702493652896,3511.344666134844,0,0,0,0,0,0,0,0,0,
54,450.32225291264854,6.419516233333333,187096.73612693616,673041.1797445266,0,0,0,0,0,0,0,0,0,32916.21176773409,0,0,5732.8367975032925,2209538.8256401564,2368.9678126903914,0,0,0,0,0,0,0,0,0,0,
55,657.2898152696229,4.749873366666667,25482.639168340735,68032.01671256647,0,0,0,0,0,0,0,0,0,0,0,0,0,726057.6803182061,0,0,0,0,0,0,0,0,0,0,0,
56,610.2487548828125,3.0178158600000002,15102.60128670192,30306.305609255498,0,0,0,0,0,0,0,561449.8818893686,2019025.8405447386,2274.6680034901397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,284.2949156584563,10.052262,157753.45355566483,318031.37902277644,261778.0280928648,359140.7876759751,450202.4832885054,439297.27090816275,326690.1315502171,312187.08624943433,298317.5408374524,286268.7123108929,293812.97605511436,112941.43903760695,404700.53204824205,576797.6516246357,258887.20347240174,127291.92760558837,117756.87691444311,187830.31562941393,101149.65064470725,220608.7027946768,81336.23661046856,338297.8518827885,80001.83573009595,276508.70943650266,248951.53266060166,168468.00505731342,193757.76691060467,
58,739.3663736979166,6.916691066666666,65756.36602863092,181447.83595373284,0,0,0,0,0,0,0,0,0,0,0,0,0,1158094.9125515113,0,0,0,0,0,0,0,0,0,0,0,
59,661.1886215220261,5.235932025,11198.411941649134,37869.24318874032,0,0,18757.55192244917,0,0,0,0,0,0,0,0,1847657.2784337346,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,237.0394271850586,2.01970678,2359.939352150397,41687.94112321854,0,0,0,0,0,0,0,0,0,7002.821109578528,303440.01439825806,1032574.5274709354,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,386.1079845428467,3.330414812500001,63205.33574893091,181688.82673405955,0,0,0,130073.80429731571,0,0,0,0,0,0,0,0,382777.00683816103,0,0,120274.69515202974,0,0,0,3045142.15659313,849335.6367926045,1206756.8285571153,0,0,0,
62,417.15171432505923,2.6521643750000004,8114.050496283642,0,7112.116181496125,0,0,0,0,0,55814.47389701356,99646.66441994505,3956.9339703823143,7356.4411953866265,3881.6960179600605,0,0,0,16491.192251523185,572866.2025206675,27216.70302500692,3801.227534611764,1109.7225774345757,0,0,0,0,0,0,
63,401.26662063650133,7.658131783333334,31270.488857446588,65701.8544911316,0,0,1058.9440745609627,624.4400204957494,0,0,44635.462173187836,0,0,9706.873402988873,0,0,14308.659300880268,14876.343767501909,0,2628.0892673615017,2060327.3587674834,2921.0512643261,0,0,0,0,2947.317396060743,0,0,
64,441.2457104650425,4.191940519047618,117823.80216631548,337504.4248813466,95881.59292937303,11877.334111393457,76276.55535476188,45622.783488206594,20665.434606219875,29921.499156505888,146948.7785001228,0,625.8120024865706,1322832.0588088655,201159.18525504365,216357.61921732104,190881.00187116713,258945.62148104247,24309.377470535823,35778.53861382287,679786.0914602849,0,0,634078.8973859622,6674.278189833185,454.8569194753436,0,0,0,
65,434.2019508381043,3.096502815,28676.405760297414,89478.4991196521,92977.39345301382,0,12835.374200457272,115105.28434894429,29210.487428530436,19590.335489830224,120169.01435977743,0,0,2072703.255388875,74847.37495025681,34941.06959378482,20912.434226985126,13595.917723746283,1366.4157196575297,1459.5427946630748,43673.45158699525,0,4515.577251593228,315907.80247539846,1460.8901721357292,5344.82234949978,0,0,0,
66,336.32661607543946,8.72734638148148,175001.92905592395,742528.0333324147,564424.7469780328,475516.23860394093,147769.4098345774,384285.4327848691,485988.4218677309,609106.0446377429,691696.6338666352,667750.8742761826,336722.1838299952,499819.21350174333,209064.83214343918,641137.2246802363,597350.6788198284,203840.9907290484,425886.7900483439,503161.5424993539,222636.4095043443,622112.6408595322,302121.9751761776,356963.3103221872,510820.76897105214,206601.87854920025,284398.18999730656,658422.0732099388,592583.5271688198,
67,275.20062072775266,6.212298419999999,45759.13527815304,113857.50382370185,397150.3316302795,23928.8766467427,41558.614969171715,16918.583347123793,3119.8998252677975,11495.379570841651,168187.71305936668,13642.784262990668,7738.101759354414,697461.2077672026,41591.06528489533,53971.70990344499,51683.71624980974,71022.28432030044,38607.32881267115,20160.428615226567,648331.6212120288,2765.614339124671,3732.281927972195,21829.742851829138,3919.9488149707395,5785.353511207659,7242.168117283715,0,0,
68,242.17492605151074,4.274376192592592,119392.13290520287,216470.62925698163,130800.37225949527,113110.22680403436,131530.41917419672,148838.95861031488,153675.4084047623,167423.53286379715,156926.95205593598,125306.77523893975,131575.09314496384,250590.8481273381,106149.80641754415,154167.98749621265,136901.87615297054,257477.4785506091,250043.29591233554,163858.7050003917,250982.13456534327,115677.55976527107,116358.17886296025,158979.7298914543,180119.7654210822,127458.28303170962,1338727.9303198028,355167.94367126806,217345.49809099108,
69,319.2256017614294,8.048538025925925,357725.63264012296,903509.5453929519,17483.18426036195,9920.75963467975,30562.037784557437,15057.706708186759,10642.148219995664,17186.33733492352,14085.451173772777,8356.7032838563,9911.717722121444,68974.79042714163,16083.578168877855,16509.92648634858,40705.75964717853,1573935.504294099,137925.65057457698,32524.842573550104,31790.509321211786,22483.983637202684,78329.0080683447,20957.57684769527,9324.947154955547,20705.46962089406,45368.66002526774,9211.033432148473,8612.488733842913,
70,309.20546072500724,6.2653158,83370.72411315051,256204.22790771586,69122.6590125414,9757.487498560626,19906.95151035643,17424.543927378814,13209.968197270628,23366.34116125345,126367.52182327748,10336.343171800654,21524.261368809097,1300937.5562181463,40026.64815552455,41880.248755825196,144308.19373504646,526341.4051834922,122242.80506474343,39664.21675584079,1024620.2318107364,12490.472141256358,8666.33826602924,37964.46307631806,10886.436584914338,19502.088405790946,61002.04568107953,11933.028936458315,11486.347008937664,
71,609.4517211922708,9.623920133333336,16054.195673650018,58247.89653811625,56602.61277614323,0,0,0,0,0,31536.907630562342,0,0,40926.672829402785,0,0,44091.151028841654,2506.7387299709785,0,0,2409448.1872660117,0,0,30287.13867322439,0,0,0,0,0,
72,681.2878112792969,6.6140544666666665,74010.65168560803,233488.96446948883,0,0,0,0,0,0,0,0,0,0,0,0,0,854495.818866279,0,0,0,0,0,0,0,0,0,0,0,
73,428.13385148515175,3.6196970545454543,51390.821322783704,95611.94410729314,0,0,0,13037.198109846444,1215.4060438443328,10934.27262006222,0,0,0,0,0,0,2465.4733824858276,96603.03805144558,1193032.7624439695,176169.20689051287,0,0,0,9625.209658048912,1208.3907886333052,0,0,0,0,
74,349.18354571317036,2.5040649111111115,413934.6956980344,710867.8582675213,735203.9691584095,561738.2062910828,562054.9106265337,245106.62001937765,590243.0982488338,628888.1889706844,502918.5825141686,824026.2813959093,645983.7724716907,646209.5794758504,524198.805730758,562902.0550232684,421155.99853374925,506180.5958241152,707081.0977248275,628964.2313231959,335423.95292487944,812172.4647136468,580791.0221878615,447524.5183779209,355023.2990036682,485712.8479593991,294098.88426177326,351841.30754450464,150841.04058631617,
